GET,/api/appointments/history,Get appointment history,Pagination params,Page<AppointmentDto>,Yes

=== API ENDPOINTS - AVAILABILITY SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
POST,/api/availability/recurring,Set recurring availability,CreateAvailabilityRequest,AvailabilityDto,Yes (Doctor)
POST,/api/availability/adhoc,Set adhoc availability,CreateAvailabilityRequest,AvailabilityDto,Yes (Doctor)
GET,/api/availability/{doctorId},Get doctor availability,Date parameters,List<AvailabilityDto>,No
GET,/api/availability/{doctorId}/slots,Get available time slots,Date parameters,List<TimeSlotDto>,No
DELETE,/api/availability/{id},Delete availability,None,Success message,Yes (Doctor)

=== API ENDPOINTS - FILE SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
POST,/api/files/upload,Upload file,MultipartFile,FileUploadResponse,Yes
GET,/api/files/{id},Download file,None,File binary,Yes
DELETE,/api/files/{id},Delete file,None,Success message,Yes
GET,/api/files/user,Get user files,Pagination params,Page<FileDto>,Yes

=== API ENDPOINTS - NOTIFICATION SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
POST,/api/notifications/send,Send notification,CreateNotificationRequest,Success message,Yes
GET,/api/notifications,Get user notifications,Pagination params,Page<NotificationDto>,Yes
PUT,/api/notifications/{id}/read,Mark as read,None,Success message,Yes
DELETE,/api/notifications/{id},Delete notification,None,Success message,Yes
GET,/api/notifications/unread-count,Get unread count,None,Long,Yes

=== API ENDPOINTS - PAYMENT SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
POST,/api/payments/create-intent,Create payment intent,CreatePaymentRequest,PaymentIntentResponse,Yes
POST,/api/payments/confirm,Confirm payment,ConfirmPaymentRequest,PaymentDto,Yes
GET,/api/payments/{id},Get payment details,None,PaymentDto,Yes
GET,/api/payments/history,Get payment history,Pagination params,Page<PaymentDto>,Yes
POST,/api/payments/refund/{id},Request refund,Refund reason,RefundResponse,Yes

=== API ENDPOINTS - PRESCRIPTION SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
POST,/api/prescriptions,Create prescription,CreatePrescriptionRequest,PrescriptionDto,Yes (Doctor)
GET,/api/prescriptions/{id},Get prescription details,None,PrescriptionDto,Yes
GET,/api/prescriptions/patient/{patientId},Get patient prescriptions,Pagination params,Page<PrescriptionDto>,Yes
GET,/api/prescriptions/doctor,Get doctor prescriptions,Pagination params,Page<PrescriptionDto>,Yes (Doctor)
PUT,/api/prescriptions/{id},Update prescription,UpdatePrescriptionRequest,PrescriptionDto,Yes (Doctor)

=== API ENDPOINTS - TAXONOMY SERVICE ===
Method,Endpoint,Description,Request Body,Response,Authentication Required
GET,/api/specializations,Get all specializations,None,List<SpecializationDto>,No
GET,/api/specializations/{id},Get specialization details,None,SpecializationDto,No
GET,/api/conditions,Get all conditions,None,List<ConditionDto>,No
GET,/api/conditions/{id},Get condition details,None,ConditionDto,No

=== DATABASE ENTITIES ===
Entity,Table Name,Key Relationships,Primary Purpose,Key Fields
User,users,One-to-One with Patient/Doctor/Admin,Base user information,id email fullName role
Patient,patients,One-to-One with User,Patient-specific data,userId dateOfBirth gender
Doctor,doctors,One-to-One with User,Doctor-specific data,userId licenseNumber experience
Admin,admins,One-to-One with User,Admin-specific data,userId permissions
Address,addresses,Many-to-One with Patient/Doctor,Location information,addressLine1 city state zipCode
Specialization,specializations,Many-to-Many with Doctor,Medical specialties,name description
Condition,conditions,Many-to-Many with Doctor,Medical conditions,name description severity
CommonAppointment,appointments,Many-to-One with Doctor/Patient,Appointment booking,doctorId patientId appointmentDateTime status
TimeSlot,time_slots,Many-to-One with Doctor,Available time slots,doctorId startTime endTime status
DoctorAvailability,doctor_availability,Many-to-One with Doctor,Doctor working hours,doctorId dayOfWeek startTime endTime
Prescription,prescriptions,One-to-One with CommonAppointment,Digital prescriptions,appointmentId diagnosis advice
PrescriptionMedicine,prescription_items,Many-to-One with Prescription,Prescribed medications,prescriptionId name dosage frequency
Payment,payments,One-to-One with CommonAppointment,Payment processing,appointmentId amount status paymentMethod
Review,reviews,One-to-One with CommonAppointment,Appointment reviews,appointmentId rating comment
Notification,notifications,Many-to-One with User,User notifications,userId type message isRead
PatientMedicalHistory,patient_medical_history,One-to-One with Patient,Medical history,patientId allergies chronicConditions
PatientReport,patient_reports,Many-to-One with Patient,Medical reports,patientId title reportType uploadDate
DoctorVerificationDocuments,doctor_verification_documents,One-to-One with Doctor,Verification docs,doctorId licenseDocument status
AuditLog,audit_log,Many-to-One with User,System auditing,userId action entityType oldValues newValues

=== DOCKER CONFIGURATION ===
Service,Image Type,Base Image,Size Estimate,Optimization Features
Distroless,Ultra-secure,gcr.io/distroless/java17-debian12:nonroot,~100MB,"No shell, minimal attack surface"
Alpine,Lightweight,openjdk:17-jre-alpine,~150MB,"Shell access, small footprint"
Minimal,Custom JRE,debian:12-slim + custom JRE,~80MB,"Custom JRE with only required modules"
Standard,Full-featured,amazoncorretto:17-alpine,~300MB,"Full JDK with debugging capabilities"

=== SECURITY CONFIGURATION ===
Component,Authentication,Authorization,Security Features,Configuration
API Gateway,JWT Validation,Route-based,Rate limiting CORS,Custom security filters
Auth Service,Password + JWT,Role-based,BCrypt hashing,JWT expiration: 24h
User Service,JWT Required,Role + Resource-based,Field-level security,Method-level authorization
Admin Service,JWT Required,Admin role only,Audit logging,@PreAuthorize annotations
All Services,JWT Bearer,Spring Security,HTTPS only,Non-root containers

=== MONITORING AND HEALTH CHECKS ===
Service,Health Check Endpoint,Metrics Endpoint,Monitoring Features,Alerting
All Services,/actuator/health,/actuator/prometheus,Spring Boot Actuator,Custom metrics
Prometheus,/metrics,/-/healthy,System metrics collection,Rule-based alerts
Grafana,/api/health,N/A,Visualization dashboards,Dashboard alerts
Database,pg_isready,N/A,Connection monitoring,Connection pool metrics
Redis,redis-cli ping,N/A,Cache monitoring,Memory usage alerts

=== DEPLOYMENT CONFIGURATION ===
Environment,Configuration,Resource Limits,Scaling Strategy,Backup Strategy
Development,docker-compose,512MB memory limit,Manual scaling,Local backups
Staging,Kubernetes,1GB memory limit,Horizontal scaling,Daily backups
Production,Kubernetes + Helm,2GB memory limit,Auto-scaling,Real-time replication

=== API RESPONSE FORMATS ===
Response Type,Structure,Fields,Usage,Examples
ApiResponse<T>,Wrapper object,"success, message, data, timestamp",Standard API responses,Success/Error responses
PageResponse<T>,Paginated data,"content, totalElements, totalPages, size",List endpoints,Search results
AuthResponse,Authentication data,"accessToken, refreshToken, user, expiresIn",Auth endpoints,Login/Register responses
ErrorResponse,Error details,"code, message, details, timestamp",Error handling,Validation errors

=== BUSINESS RULES ===
Domain,Rule,Implementation,Validation,Error Handling
Authentication,JWT tokens expire in 24 hours,JWT configuration,Token validation filter,Automatic refresh
Appointments,Cannot book past appointments,Service layer validation,@Valid annotations,BusinessException
Payments,Refunds allowed within 7 days,Payment service logic,Business rule validation,Custom exceptions
Prescriptions,Only doctors can create prescriptions,Security configuration,@PreAuthorize,Access denied exception
Verification,Admins approve doctor verifications,Workflow implementation,State machine pattern,Status validation
